review,label
"Excellent phone, amazing battery",positive
"Very bad performance",negative
"Average product",neutral
"Loved the camera quality",positive
"Worst phone ever",negative
"Battery life is outstanding",positive
"Phone heats up quickly",negative
"Not bad but not great either",neutral
"Very smooth performance and fast charging",positive
"Camera quality is poor in low light",negative
"Build quality is decent",neutral
"Absolutely worth the price",positive
"Lags a lot while gaming",negative
"Sound quality is okay",neutral
"Display is bright and vibrant",positive
"Stopped working after one week",negative
"Nothing special about this phone",neutral
"Best phone I have used so far",positive
"Touch response is very slow",negative
"Does the job but could be better",neutral
"Great value for money",positive
"Battery drains very fast",negative
"Design is simple and clean",neutral
"Camera performance exceeded expectations",positive
"Very disappointing experience",negative
"Average camera and average battery",neutral
"Fast processor and smooth UI",positive
"Phone hangs frequently",negative
"Okay for normal daily use",neutral
"Highly recommend this product",positive
"Speaker quality is terrible",negative
"Neither good nor bad",neutral
